Channel Name or Channel Handle,Video Title,Video URL,Transcript Link,Publish Date,Video Length,Views,Likes,Comments,Transcript Filename in Github,BatchID,,,,,Date Generated:
KidsCanCode,Circle Jump: A Godot Mobile Game (Part 9),https://www.youtube.com/watch?v=ut3EK4A5uC0,circlejumpagodotmobilegamepart9.txt,6/1/19,10:38,6808,212,51,circlejumpagodotmobilegamepart9.txt,3,,,,,Thu 7/18/2024
KidsCanCode,Godot One Shot: TileMap Collisions,https://www.youtube.com/watch?v=OzgK__VowVs,godotoneshottilemapcollisions.txt,12/28/18,5:50,38856,567,49,godotoneshottilemapcollisions.txt,3,,,,,Thu 7/18/2024
thenewboston,Python Tutorial in 30 Minutes (Crash Course for Absolute Beginners),https://www.youtube.com/watch?v=WEm3EUdicDg,pythontutorialin30minutescrashcourseforabsolutebeginners.txt,3/31/21,20:51,118161,4090,148,pythontutorialin30minutescrashcourseforabsolutebeginners.txt,3,,,,,Thu 7/18/2024
thenewboston,React JS Tutorials for Beginners - 1 - Getting Started,https://www.youtube.com/watch?v=-AbaV3nrw6E,reactjstutorialsforbeginners1gettingstarted.txt,6/28/16,4:09,591392,2581,238,reactjstutorialsforbeginners1gettingstarted.txt,3,,,,,Thu 7/18/2024
thenewboston,Java Programming Tutorial - 2 - Running a Java Program,https://www.youtube.com/watch?v=5u8rFbpdvds,javaprogrammingtutorial2runningajavaprogram.txt,5/2/09,6:53,2951076,14374,3410,javaprogrammingtutorial2runningajavaprogram.txt,3,,,,,Thu 7/18/2024
thenewboston,Java Programming Tutorial - 3 - Downloading Eclipse,https://www.youtube.com/watch?v=CE8UIbb_4iM,javaprogrammingtutorial3downloadingeclipse.txt,5/2/09,7:06,2185442,13170,2113,javaprogrammingtutorial3downloadingeclipse.txt,3,,,,,Thu 7/18/2024
thenewboston,Java Programming Tutorial - 4 - Hello YouTube,https://www.youtube.com/watch?v=SHIT5VkNrCg,javaprogrammingtutorial4helloyoutube.txt,5/3/09,7:53,2278436,15705,1749,javaprogrammingtutorial4helloyoutube.txt,3,,,,,Thu 7/18/2024
thenewboston,Java Programming Tutorial - 5 - Variables,https://www.youtube.com/watch?v=gtQJXzi3Yns,javaprogrammingtutorial5variables.txt,5/3/09,7:25,1930223,14084,1441,javaprogrammingtutorial5variables.txt,3,,,,,Thu 7/18/2024
thenewboston,Java Programming Tutorial - 6 - Getting User Input,https://www.youtube.com/watch?v=5DdacOkrTgo,javaprogrammingtutorial6gettinguserinput.txt,5/3/09,5:31,2418772,16174,1588,javaprogrammingtutorial6gettinguserinput.txt,3,,,,,Thu 7/18/2024
thenewboston,Beginner JavaScript Tutorial - 1 - Introduction to JavaScript,https://www.youtube.com/watch?v=yQaAGmHNn9s,beginnerjavascripttutorial1introductiontojavascript.txt,3/16/11,6:41,2087398,9809,1005,beginnerjavascripttutorial1introductiontojavascript.txt,3,,,,,Thu 7/18/2024
