channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,Unnamed: 9
Bro Code,Learn Python NESTED CLASSES in 9 minutes! 📛,https://www.youtube.com/watch?v=zxPODCF4KEw,6/21/24,9:49,3095,110,13,learnpythonnestedclassesin9minutes.txt,2
Bro Code,Learn Python COMPOSITION in 7 minutes! 🚘,https://www.youtube.com/watch?v=TPUdUkFHD5I,6/19/24,7:22,4254,151,28,learnpythoncompositionin7minutes.txt,2
Bro Code,Learn Python AGGREGATION in 6 minutes! 📚,https://www.youtube.com/watch?v=caXOUnQkD1o,6/17/24,6:38,3727,147,21,learnpythonaggregationin6minutes.txt,2
Bro Code,Learn Python ABSTRACT CLASSES in 7 minutes! 👻,https://www.youtube.com/watch?v=97V7ICVeTJc,6/13/24,7:02,4089,115,24,learnpythonabstractclassesin7minutes.txt,2
Bro Code,How to measure EXECUTION TIME in Python ⌚,https://www.youtube.com/watch?v=FblABqaKz_U,6/13/24,3:01,2596,81,10,howtomeasureexecutiontimeinpython.txt,2
Bro Code,Let's code a beginner's Python SLOT MACHINE 🎰,https://www.youtube.com/watch?v=f5J3YiZ3XX8,6/3/24,20:11,18816,676,80,letscodeabeginnerspythonslotmachine.txt,2
Bro Code,Learn Python LIST COMPREHENSIONS in 10 minutes! 📃,https://www.youtube.com/watch?v=YlY2g2xrl6Q,6/2/24,10:20,5511,203,23,learnpythonlistcomprehensionsin10minutes.txt,2
Bro Code,Let's code a beginner's Python BANK PROGRAM 💰,https://www.youtube.com/watch?v=8aW3tkIul-8,5/30/24,15:01,140015,3981,105,letscodeabeginnerspythonbankprogram.txt,2
Bro Code,if __name__ == '__main__' for Python beginners 📥,https://www.youtube.com/watch?v=8A0E1dSyjFM,5/27/24,9:13,8685,294,23,ifnamemainforpythonbeginners.txt,2
Bro Code,Learn Python CONDITIONAL EXPRESSIONS in 5 minutes! ❓,https://www.youtube.com/watch?v=TYyKQBC4bwE,5/25/24,5:33,9227,254,34,learnpythonconditionalexpressionsin5minutes.txt,2
Bro Code,SUPER() in Python explained! 🔴,https://www.youtube.com/watch?v=HzyhmZqiaE8,5/24/24,13:06,5622,208,27,superinpythonexplained.txt,2
Bro Code,Python INHERITANCE in 6 minutes! 👨‍👦‍👦,https://www.youtube.com/watch?v=u1be7Vele5o,5/24/24,6:57,3795,122,8,pythoninheritancein6minutes.txt,2
Bro Code,Python MULTIPLE INHERITANCE is easy! 🐟,https://www.youtube.com/watch?v=Q8YlYHjksLo,5/24/24,8:03,2902,103,7,pythonmultipleinheritanceiseasy.txt,2
Bro Code,Python CLASS VARIABLES explained easy! 🎓,https://www.youtube.com/watch?v=bytvWg4fPB0,5/21/24,8:16,5659,213,19,pythonclassvariablesexplainedeasy.txt,2
Bro Code,Learn Python Object Oriented Programming! 🚗,https://www.youtube.com/watch?v=1XE-_s4ZBT8,5/20/24,12:18,15940,553,69,learnpythonobjectorientedprogramming.txt,2
Bro Code,What is INHERITANCE in C++? 👨‍👧‍👧,https://www.youtube.com/watch?v=5HYIFFuGcvk,5/20/24,11:05,11068,298,60,whatisinheritanceinc.txt,2
Bro Code,C++ GETTERS & SETTERS explained easy 🔒,https://www.youtube.com/watch?v=5_GQw06deQg,5/20/24,6:12,8101,242,15,cgetterssettersexplainedeasy.txt,2
Bro Code,C++ CONSTRUCTOR OVERLOADING explained easy 👨‍🍳,https://www.youtube.com/watch?v=uAVj1cLktyU,5/20/24,4:27,5901,151,14,cconstructoroverloadingexplainedeasy.txt,2
Bro Code,C++ CONSTRUCTORS explained easy 👷,https://www.youtube.com/watch?v=5z3KEX9AZEQ,5/20/24,8:55,10967,304,20,cconstructorsexplainedeasy.txt,2
Bro Code,C++ CLASSES & OBJECTS explained easy 🧍,https://www.youtube.com/watch?v=_8H2n0nDfd4,5/20/24,10:54,13341,393,25,cclassesobjectsexplainedeasy.txt,2
Bro Code,ENUMS in C++ explained easy 📅,https://www.youtube.com/watch?v=Fqn4pSRH6Ec,5/20/24,4:22,6814,230,16,enumsincexplainedeasy.txt,2
Bro Code,C++ structs as arguments explained 🚚,https://www.youtube.com/watch?v=Iv-ZBq4Bcps,5/20/24,5:29,5318,179,8,cstructsasargumentsexplained.txt,2
Bro Code,STRUCTS in C++ explained 🏗️,https://www.youtube.com/watch?v=ObUUe9ujYoY,5/20/24,5:01,8899,267,20,structsincexplained.txt,2
Bro Code,What are C++ FUNCTION TEMPLATES? 🍪,https://www.youtube.com/watch?v=spZd2rNtze8,5/20/24,5:15,5709,239,22,whatarecfunctiontemplates.txt,2
Bro Code,C++ recursion explained easy 😵,https://www.youtube.com/watch?v=udiq6hVvZ1Y,5/20/24,6:21,6071,205,6,crecursionexplainedeasy.txt,2
Bro Code,C++ TIC TAC TOE game for beginners ⭕,https://www.youtube.com/watch?v=D30owXMzAm8,5/20/24,19:09,15377,394,38,ctictactoegameforbeginners.txt,2
Bro Code,What is a C++ null pointer? ⛔,https://www.youtube.com/watch?v=yKT_Rwx4lsQ,5/20/24,4:06,6979,223,18,whatisacnullpointer.txt,2
Bro Code,C++ pointers explained easy 👈,https://www.youtube.com/watch?v=slzcWKWCMBg,5/20/24,5:16,13339,422,31,cpointersexplainedeasy.txt,2
Bro Code,C++ credit card validator program for beginners 💳,https://www.youtube.com/watch?v=o_RTeD_3Lq8,5/20/24,10:03,6442,192,34,ccreditcardvalidatorprogramforbeginners.txt,2
Bro Code,C++ const parameters explained 🧱,https://www.youtube.com/watch?v=5wDXnZ2vOGY,5/20/24,3:08,4997,162,12,cconstparametersexplained.txt,2
Bro Code,C++ pass by VALUE vs pass by REFERENCE? 📧,https://www.youtube.com/watch?v=ao0I1ViVV6U,5/20/24,4:17,6997,248,16,cpassbyvaluevspassbyreference.txt,2
Bro Code,C++ memory addresses for beginners 🏠,https://www.youtube.com/watch?v=sHD7r6HWFc4,5/20/24,2:49,5844,203,10,cmemoryaddressesforbeginners.txt,2
Bro Code,C++ QUIZ GAME for beginners 💯,https://www.youtube.com/watch?v=tIr-43tfT5k,5/20/24,11:46,6200,210,22,cquizgameforbeginners.txt,2
Bro Code,C++ multidimensional arrays explained ⬜,https://www.youtube.com/watch?v=fINt-nzR-o8,5/20/24,7:41,6493,210,13,cmultidimensionalarraysexplained.txt,2
Bro Code,C++ How to fill an array with user input 🌭,https://www.youtube.com/watch?v=0CJMEuKuapc,5/20/24,6:58,6851,206,16,chowtofillanarraywithuserinput.txt,2
Bro Code,C++ fill() function explained 🍔,https://www.youtube.com/watch?v=xFMnQhkjq1Q,5/20/24,4:43,6156,205,14,cfillfunctionexplained.txt,2
