channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)"
Programming with Mosh,Python Machine Learning Tutorial (Data Science),https://www.youtube.com/watch?v=7eh4d6sabA0,9/17/20,49:43:00,2863537,65042,1838,pythonmachinelearningtutorialdatascience.txt,2
Programming with Mosh,Python for Beginners - Learn Python in 1 Hour,https://www.youtube.com/watch?v=kqtD5dpn9C8,9/16/20,1:00:06,18064538,431425,21592,pythonforbeginnerslearnpythonin1hour.txt,2
Programming with Mosh,Git Tutorial for Beginners: Learn Git in 1 Hour,https://www.youtube.com/watch?v=8JJ101D3knE,9/15/20,1:09:13,2427801,47081,1329,gittutorialforbeginnerslearngitin1hour.txt,2
Programming with Mosh,Flutter vs React Native - Will Flutter Kill React Native?,https://www.youtube.com/watch?v=uxZZzmeCoLE,7/14/20,4:50,416108,11897,956,fluttervsreactnativewillflutterkillreactnative.txt,2
Programming with Mosh,Insertion Sort Algorithm Made Simple [Sorting Algorithms],https://www.youtube.com/watch?v=nKzEJWbkPbQ,6/29/20,8:26,297084,6342,171,insertionsortalgorithmmadesimplesortingalgorithms.txt,2
Programming with Mosh,Bubble Sort in Plain English,https://www.youtube.com/watch?v=uJLwnsLn0_Q,6/22/20,11:35,165773,4245,170,bubblesortinplainenglish.txt,2
Programming with Mosh,React Native Tutorial for Beginners - Build a React Native App,https://www.youtube.com/watch?v=0-S5a0eXPoc,5/11/20,2:06:30,3083964,48564,1961,reactnativetutorialforbeginnersbuildareactnativeapp.txt,2
Programming with Mosh,Redux Tutorial - Learn Redux from Scratch,https://www.youtube.com/watch?v=poQXNp9ItL4,4/20/20,1:34:53,1107118,23346,1015,reduxtutoriallearnreduxfromscratch.txt,2
Programming with Mosh,Top Programming Languages in 2020,https://www.youtube.com/watch?v=bjFvcFjJpE0,1/13/20,8:08,1177237,28088,1582,topprogramminglanguagesin2020.txt,2
Programming with Mosh,Design Patterns in Plain English | Mosh Hamedani,https://www.youtube.com/watch?v=NU_1StN5Tkk,1/6/20,1:20:01,1381904,27801,618,designpatternsinplainenglishmoshhamedani.txt,2
Programming with Mosh,Why I Left My Job as a Senior Software Engineer,https://www.youtube.com/watch?v=8TnBZ8rom9c,1/2/20,2:30,475841,25133,1731,whyileftmyjobasaseniorsoftwareengineer.txt,2
Programming with Mosh,Mosh's Christmas Present to You (2019),https://www.youtube.com/watch?v=q4MEKTVxg0c,12/16/19,1:33,154293,2980,204,moshschristmaspresenttoyou2019.txt,2
Programming with Mosh,Data Structures and Algorithms for Beginners,https://www.youtube.com/watch?v=BBpAmxU_NQo,12/10/19,1:18:43,1777290,37752,698,datastructuresandalgorithmsforbeginners.txt,2
Programming with Mosh,New Course: Data Structures & Algorithms [Part 2],https://www.youtube.com/watch?v=cifiry8yoao,9/7/19,2:40,38901,833,117,newcoursedatastructuresalgorithmspart2.txt,2
Programming with Mosh,New Course: Data Structures and Algorithms Course,https://www.youtube.com/watch?v=XBoZPCgdnm8,8/20/19,2:32,84164,2655,269,newcoursedatastructuresandalgorithmscourse.txt,2
Programming with Mosh,Java Tutorial for Beginners,https://www.youtube.com/watch?v=eIrMbAQSU34,7/15/19,2:30:48,11110897,262365,8149,javatutorialforbeginners.txt,2
Programming with Mosh,React vs Angular vs Vue: What to Choose for Your Next Project,https://www.youtube.com/watch?v=i8xsbYgMiBs,5/9/19,11:40,192065,5251,346,reactvsangularvsvuewhattochooseforyournextproject.txt,2
Programming with Mosh,React vs Angular vs Vue: What to Learn to Get a Front-end Job,https://www.youtube.com/watch?v=pEbIhUySqbk,4/17/19,7:39,432074,7640,337,reactvsangularvsvuewhattolearntogetafrontendjob.txt,2
Programming with Mosh,SQL Tutorial for Beginners [Full Course],https://www.youtube.com/watch?v=7S_tz1z_5bA,3/20/19,3:10:19,11706260,248206,9318,sqltutorialforbeginnersfullcourse.txt,2
Programming with Mosh,Python Tutorial - Python Full Course for Beginners,https://www.youtube.com/watch?v=_uQrJ0TkZlc,2/18/19,6:14:07,40249384,1101232,57350,pythontutorialpythonfullcourseforbeginners.txt,2
Programming with Mosh,How to Learn to Code and Make $60k+ a Year,https://www.youtube.com/watch?v=r16Rn4_jDfk,1/8/19,9:47,2312636,97063,5962,howtolearntocodeandmake60kayear.txt,2
Programming with Mosh,Mosh's Xmas Present 2018,https://www.youtube.com/watch?v=stZU1tJzHrA,12/16/18,1:04,69424,1814,200,moshsxmaspresent2018.txt,2
Programming with Mosh,Python Practice - Interview Question - Fizz Buzz | Mosh,https://www.youtube.com/watch?v=z3-XFI_nXNM,11/19/18,6:15,95221,1762,112,pythonpracticeinterviewquestionfizzbuzzmosh.txt,2
Programming with Mosh,How to Sort Lists in Python - Python Tutorial for Absolute Beginners | Mosh,https://www.youtube.com/watch?v=3Tcq_dBhIrQ,11/16/18,6:54,99227,1566,23,howtosortlistsinpythonpythontutorialforabsolutebeginnersmosh.txt,2
Programming with Mosh,Map and Filter Functions in Python - Python Tutorial for Absolute Beginners | Mosh,https://www.youtube.com/watch?v=2qKQGqpRsks,11/15/18,5:59,62643,1202,26,mapandfilterfunctionsinpythonpythontutorialforabsolutebeginnersmosh.txt,2
Programming with Mosh,What are Sets in Python? Python Tutorial for Absolute Beginners | Mosh,https://www.youtube.com/watch?v=t9j8lCUGZXo,11/14/18,4:31,83259,1793,36,whataresetsinpythonpythontutorialforabsolutebeginnersmosh.txt,2
Programming with Mosh,Mosh's Black Friday Sales (2018),https://www.youtube.com/watch?v=OxUsVif94aI,11/14/18,0:56,233065,842,107,moshsblackfridaysales2018.txt,2
Programming with Mosh,Python Stacks - Python Tutorial for Absolute Beginners | Mosh,https://www.youtube.com/watch?v=NKmasqr_Xkw,11/13/18,4:51,142655,2473,58,pythonstackspythontutorialforabsolutebeginnersmosh.txt,2
Programming with Mosh,Python Variables - Python Tutorial for Beginners with Examples | Mosh,https://www.youtube.com/watch?v=cQT33yu9pY8,11/12/18,6:36,184982,2973,71,pythonvariablespythontutorialforbeginnerswithexamplesmosh.txt,2
Programming with Mosh,How to Use Strings in Python - Python Tutorial for Beginners,https://www.youtube.com/watch?v=Ctqi5Y4X-jA,11/9/18,16:46,228823,3985,87,howtousestringsinpythonpythontutorialforbeginners.txt,2
Programming with Mosh,How to Use Lists in Python,https://www.youtube.com/watch?v=9OeznAkyQz4,11/8/18,18:49,296919,5505,96,howtouselistsinpython.txt,2
Programming with Mosh,Control Flow in Python - If Elif Else Statements,https://www.youtube.com/watch?v=Zp5MuPOtsSY,11/6/18,16:08,290389,5241,166,controlflowinpythonifelifelsestatements.txt,2
Programming with Mosh,Python Functions | Python Tutorial for Absolute Beginners #1,https://www.youtube.com/watch?v=u-OmVr_fT4s,11/6/18,30:34:00,936958,16964,422,pythonfunctionspythontutorialforabsolutebeginners1.txt,2
Programming with Mosh,Python For Loops - Python Tutorial for Absolute Beginners,https://www.youtube.com/watch?v=94UHCEmprCY,11/5/18,14:42,573990,10282,277,pythonforloopspythontutorialforabsolutebeginners.txt,2
Programming with Mosh,Python Exercises for Beginners - Exercise #1,https://www.youtube.com/watch?v=ODjFDZC_TyA,11/4/18,2:18,332541,4833,201,pythonexercisesforbeginnersexercise1.txt,2
Programming with Mosh,How to Loop over Lists in Python,https://www.youtube.com/watch?v=9ueMumuFv6g,11/4/18,3:21,144302,1530,34,howtoloopoverlistsinpython.txt,2
Programming with Mosh,Stop Wasting Your Time and Money at Universities!,https://www.youtube.com/watch?v=tsBy6je8KjM,10/31/18,2:47,1117808,8598,896,stopwastingyourtimeandmoneyatuniversities.txt,2
Programming with Mosh,What is Python? Why Python is So Popular?,https://www.youtube.com/watch?v=Y8Tko2YC5hA,10/23/18,4:07,1981860,64204,868,whatispythonwhypythonissopopular.txt,2
Programming with Mosh,Learn Python Programming - Python Course,https://www.youtube.com/watch?v=f79MRyMsjrQ,10/22/18,1:48:05,976062,16056,726,learnpythonprogrammingpythoncourse.txt,2
Programming with Mosh,Python Tutorials for Beginners - Learn Python Online,https://www.youtube.com/watch?v=yE9v9rt6ziw,10/22/18,2:25:54,1109281,19986,863,pythontutorialsforbeginnerslearnpythononline.txt,2
Programming with Mosh,React JS - React Tutorial for Beginners,https://www.youtube.com/watch?v=Ke90Tje7VS0,7/16/18,2:25:27,6160908,92603,5000,reactjsreacttutorialforbeginners.txt,2
Programming with Mosh,ES6 Tutorial: Learn Modern JavaScript in 1 Hour,https://www.youtube.com/watch?v=NCwa_xi0Uuc,6/29/18,50:05:00,984029,21062,654,es6tutoriallearnmodernjavascriptin1hour.txt,2
Programming with Mosh,What Is React (React js) & Why Is It So Popular?,https://www.youtube.com/watch?v=N3AkSS5hXMA,6/27/18,4:33,854512,17133,240,whatisreactreactjswhyisitsopopular.txt,2
Programming with Mosh,My Brand New JavaScript Course,https://www.youtube.com/watch?v=rNmxANyH0BU,5/16/18,1:44,43913,469,22,mybrandnewjavascriptcourse.txt,2
Programming with Mosh,JavaScript Bitwise Operators,https://www.youtube.com/watch?v=mesu75PTDC8,5/15/18,9:26,100091,2553,83,javascriptbitwiseoperators.txt,2
Programming with Mosh,JavaScript Let vs Var vs Constant | Mosh,https://www.youtube.com/watch?v=XgSjoHgy3Rk,5/15/18,6:51,283915,6028,186,javascriptletvsvarvsconstantmosh.txt,2
Programming with Mosh,JavaScript Array Reduce,https://www.youtube.com/watch?v=g1C40tDP0Bk,5/15/18,7:42,335337,8575,369,javascriptarrayreduce.txt,2
Programming with Mosh,JavaScript Array Map,https://www.youtube.com/watch?v=G3BS3sh3D8Q,5/15/18,8:46,358290,4876,98,javascriptarraymap.txt,2
Programming with Mosh,JavaScript Array Filter,https://www.youtube.com/watch?v=4_iT6EGkQfk,5/15/18,3:45,184831,2881,68,javascriptarrayfilter.txt,2
Programming with Mosh,JavaScript Template Literals,https://www.youtube.com/watch?v=NgF9-pdTDGs,5/15/18,5:51,126940,2591,79,javascripttemplateliterals.txt,2
Programming with Mosh,JavaScript Strings,https://www.youtube.com/watch?v=09BwruU4kiY,5/15/18,7:24,126917,1523,19,javascriptstrings.txt,2
